subtype_code,dist_type,dist_mu,dist_sigma,dist_metric,dist_increment
311,lognorm,-1.79,2.17,kilogram,hour
321,lognorm,-1.79,2.17,kilogram,hour
322,lognorm,-1.79,2.17,kilogram,hour
331,lognorm,-1.79,2.17,kilogram,hour
342,lognorm,-1.79,2.17,kilogram,hour
344,lognorm,-1.79,2.17,kilogram,hour
351,lognorm,-1.79,2.17,kilogram,hour
361,lognorm,-1.79,2.17,kilogram,hour
362,lognorm,-1.79,2.17,kilogram,hour
401,lognorm,3.05,1.49,kilogram,hour
402,lognorm,3.05,1.49,kilogram,hour
501,lognorm,3.05,1.49,kilogram,hour
502,lognorm,3.05,1.49,kilogram,hour
503,lognorm,3.05,1.49,kilogram,hour
504,lognorm,3.05,1.49,kilogram,hour
506,lognorm,3.05,1.49,kilogram,hour
601,lognorm,4.41,1.31,kilogram,hour
611,lognorm,4.41,1.31,kilogram,hour
621,lognorm,4.41,1.31,kilogram,hour
999,lognorm,-1.79,2.17,kilogram,hour
