subtype_code,leak_rate_source,leak_rates_file,vent_rates_file,NRd,LPR
311,sample,leak_rates.csv,vent_rates.csv,365,0.0065
321,sample,leak_rates.csv,vent_rates.csv,365,0.0065
322,sample,leak_rates.csv,vent_rates.csv,365,0.0065
331,sample,leak_rates.csv,vent_rates.csv,365,0.0065
342,sample,leak_rates.csv,vent_rates.csv,365,0.0065
344,sample,leak_rates.csv,vent_rates.csv,365,0.0065
351,sample,leak_rates.csv,vent_rates.csv,365,0.0065
361,sample,leak_rates.csv,vent_rates.csv,365,0.0065
362,sample,leak_rates.csv,vent_rates.csv,365,0.0065
401,sample,leak_rates.csv,vent_rates.csv,365,0.0065
402,sample,leak_rates.csv,vent_rates.csv,365,0.0065
501,sample,leak_rates.csv,vent_rates.csv,365,0.0065
502,sample,leak_rates.csv,vent_rates.csv,365,0.0065
503,sample,leak_rates.csv,vent_rates.csv,365,0.0065
504,sample,leak_rates.csv,vent_rates.csv,365,0.0065
506,sample,leak_rates.csv,vent_rates.csv,365,0.0065
601,sample,leak_rates.csv,vent_rates.csv,365,0.0065
611,sample,leak_rates.csv,vent_rates.csv,365,0.0065
621,sample,leak_rates.csv,vent_rates.csv,365,0.0065
999,sample,leak_rates.csv,vent_rates.csv,365,0.0065
