,mean,median,std,min,max,alt program,reference,comparison
median active leaks,-234.66666666666663,-235.0,-0.4506472618913264,-234.0,-235.0,P_alt2,P_ref,difference (alt-ref)
median daily emissions,-5.54578773920639,-5.549919919372796,-0.9467578015315365,-4.5950875210943884,-6.492355777151987,P_alt2,P_ref,difference (alt-ref)
cumulative repaired leaks,268.33333333333394,233.0,-8.490875609428656,298.0,274.0,P_alt2,P_ref,difference (alt-ref)
median active leaks,0.6398976982097188,0.6390168970814132,0.910465468000326,0.6383307573415765,0.6423135464231354,P_alt2,P_ref,ratio (alt/ref)
median daily emissions,0.4056596662323583,0.40699545521785974,0.09554280922245291,0.44440127361740805,0.3735358727400588,P_alt2,P_ref,ratio (alt/ref)
cumulative repaired leaks,1.0949964597592639,1.0822449699964702,0.8962235496229554,1.108798831690398,1.0944176430048242,P_alt2,P_ref,ratio (alt/ref)
median active leaks,1481.6666666666665,1493.0,18.827483934050548,1459.0,1493.0,P_alt,P_ref,difference (alt-ref)
median daily emissions,5.227716492460763,5.132369347891169,-0.9262319829286886,6.2163979360703525,4.334382193420781,P_alt,P_ref,difference (alt-ref)
cumulative repaired leaks,-1445.333333333333,-1437.0,8.343909970319416,-1457.0,-1442.0,P_alt,P_ref,difference (alt-ref)
median active leaks,3.2736572890025575,3.293394777265745,4.740641750915833,3.2550231839258115,3.2724505327245055,P_alt,P_ref,ratio (alt/ref)
median daily emissions,1.560252737948524,1.548389597150073,0.11515154569329042,1.7516337306118344,1.4182356992154117,P_alt,P_ref,ratio (alt/ref)
cumulative repaired leaks,0.48831720556997876,0.49276385457112604,1.1019802195693273,0.46805403431909454,0.5031013094417643,P_alt,P_ref,ratio (alt/ref)
