day,active_leaks,new_leaks,cum_repaired_leaks,daily_emissions_kg,wells_skipped_weather
0,240159,37,0,3744604.3500221074,0
1,240196,37,0,3745439.278342123,0
2,240260,64,0,3746470.7209525676,0
3,240317,57,0,3747071.946765564,0
4,240366,49,0,3747569.0448392597,0
5,240410,44,0,3748065.825988506,0
6,240462,52,0,3749218.6651409487,0
7,240511,49,0,3750147.105783601,0
8,240558,47,0,3750784.3084415947,0
9,240603,45,0,3751221.6450912957,0
10,240660,57,0,3751867.546412672,0
11,240707,47,0,3752729.2712438432,0
12,240425,40,322,3747675.441714503,0
13,240148,46,645,3743917.514513611,38
14,239921,36,908,3739553.2519197487,50
15,239685,37,1181,3737073.262127748,0
16,239428,49,1487,3734597.437565644,0
17,239173,70,1812,3731429.2417396354,0
18,238862,34,2157,3727120.9957591514,0
19,238569,48,2498,3722188.6227663723,0
20,238263,48,2852,3717183.531703516,0
21,237966,40,3189,3712744.91277533,0
22,237596,60,3619,3708769.929096863,0
23,237276,52,3991,3704710.3462072955,0
24,237010,49,4306,3699872.7698197076,0
25,236743,36,4609,3696033.7147497656,0
26,236446,45,4951,3691234.0003713192,0
27,236191,50,5256,3687676.1204865417,0
28,235938,49,5558,3683284.0366261005,0
29,235642,45,5899,3678784.35916745,0
30,235293,46,6294,3673554.069477988,265
31,234985,49,6651,3668177.3975446457,485
32,234684,50,7002,3663333.958908531,0
33,234386,45,7345,3656354.487096625,0
34,234063,54,7722,3651377.962857209,0
35,233808,45,8022,3646883.1225656257,0
36,233479,45,8396,3642157.7873991467,0
37,233231,43,8687,3639232.4258791883,0
38,232913,55,9060,3635461.2526854645,0
39,232652,46,9367,3630314.153488383,0
40,232364,49,9704,3625945.2990585887,0
41,232088,40,10020,3621700.4684724915,0
42,231743,42,10407,3616683.723788822,0
43,231404,51,10797,3611442.635914076,0
44,231083,45,11163,3607378.4734251467,0
45,230804,49,11491,3603477.335505071,0
46,230515,47,11827,3598760.0046846103,0
47,230188,54,12208,3593143.314997693,0
48,229911,45,12530,3587931.0006432463,0
49,229622,45,12864,3582408.110288,0
50,229280,40,13246,3577899.3133782004,0
51,229008,51,13569,3572320.482348476,0
52,228670,54,13961,3567325.2584306286,0
53,228381,40,14290,3563173.402372981,0
54,228053,46,14664,3558220.9907845594,0
55,227841,41,14917,3555580.9735668753,3464
56,227623,44,15179,3551917.3481147345,0
57,227319,50,15533,3546353.9446004294,0
58,226962,47,15937,3542682.658486578,0
59,226690,53,16262,3537124.943119892,0
60,226386,50,16616,3531422.9959947313,0
61,226161,39,16880,3527125.1669255854,0
62,225854,48,17235,3521843.4067679835,0
63,225557,44,17576,3517002.6076264954,0
64,225263,51,17921,3513117.9078773153,0
65,224966,54,18272,3509609.625751203,0
66,224725,51,18564,3504950.7384909405,0
67,224460,59,18888,3500742.810766894,0
68,224119,41,19270,3494425.49909034,0
69,223824,52,19617,3490142.038026938,0
70,223505,51,19987,3486368.1761226663,0
71,223226,46,20312,3481716.976884398,0
72,222952,43,20629,3477957.7753503476,0
73,222643,46,20984,3473049.5859119906,0
74,222304,34,21357,3467155.7280364996,0
75,221995,42,21708,3461400.178905739,0
76,221711,52,22044,3457234.536623869,0
77,221413,40,22382,3452261.574497761,0
78,221126,48,22717,3446477.5094603105,0
79,220754,43,23132,3440760.705420447,0
80,220465,42,23463,3435128.956999528,0
81,220163,36,23801,3429551.585770266,0
82,219832,54,24186,3425923.246216779,0
83,219479,38,24577,3420775.850901449,0
84,219200,44,24900,3417450.8061735807,0
85,218920,47,25227,3413022.919946068,0
86,218627,50,25570,3408055.039548007,0
87,218291,43,25949,3401999.716983702,0
88,217955,40,26325,3396512.292978287,0
89,217712,48,26616,3393112.1191580524,0
90,217431,46,26943,3389711.3244003435,0
91,217087,53,27340,3382324.0396290296,0
92,216671,45,27801,3376118.5836076387,0
93,216399,47,28120,3373122.040725292,0
94,216157,57,28419,3369691.1821941063,0
95,215893,56,28739,3366890.1627239874,0
96,215616,32,29048,3362329.8430562755,0
97,215242,48,29470,3357674.253927052,0
98,214922,36,29826,3353933.2187664956,0
99,214640,45,30153,3350152.70322208,0
